Name,Intake date,Water date,Planted date,Sprouted date,Departure date,Outcome,Owner,Given on ,Notes,,,,,
Turmeric 1,10/10/2022,,10/10/2022,,11/1/2022,Dormant,,,"Returned to plastic store box w other turmerics, suspect has root inhibitor",,,,,
Turmeric 8,10/10/2022,,12/26/2022,1/23/2023,7/17/2023,Discarded,,,In own whole foods tub,,,,,
Turmeric 3,10/10/2022,,11/13/2022,,1/2/2023,Dormant,,,In small bedroom jar at bedside.  Dried out or otherwise ,,,,,
Mango 9,10/10/2022,,,,10/12/2022,Rotted,,,,,,,,
Serrano Pepper 4,10/11/2022,,10/22/2022,10/22/2022,1/29/2023,Unsure,,,"had not changed in at least 2 mo, killed on 1/29/23",,,,,
Serrano Pepper 5,10/11/2022,,10/27/2022,,12/1/2022,Unsure,,,Not sure what ever happened to this.  Says 'strictly indoor' but cant see any trace of it as of 1/29/23,,,,,
Serrano Pepper 6,2/3/2023,,2/14/2023,2/18/2023,12/9/2023,Stolen,,,"Both in same tall plastic cup, will need to transplant",,,,,
Serrano Pepper 7,2/3/2023,,2/14/2023,2/18/2023,5/27/2023,Dormant,,,"Both in same tall plastic cup, will need to transplant",,,,,
Serrano Pepper 8,2/3/2023,,2/18/2023,2/25/2023,,Sprouted,,,In narrow squat container w handle indentation w another citrus that sprouted,,,,,
Lemon 8,10/12/2022,,10/19/2022,,12/1/2022,Dormant,,,in red pot.  This one is recorded here but i see no evidence of it  in the photos.  The other one in the red pot ought to be lemon10 based on the transplant note,,,,,
Avocado 7,10/12/2022,11/5/2022,,11/30/2022,8/11/2023,Unsure,,,"Sprouted while in water.  Lost all leaves, sitting outside on top of water hydrant on 4th floor ",,,,,
Avocado 8,10/12/2022,11/15/2022,,12/10/2022,,Sprouted,,,Sprouted while in water with no roots...  Put out shoots 1/22/23,,,,,
Shallot 1,10/12/2022,,10/15/2022,,10/24/2022,Dormant,,,,,,,,
Mango 10,10/12/2022,,,,10/22/2022,Rotted,,,,,,,,
Mango 11,10/13/2022,,11/18/2022,11/30/2022,5/2/2023,Stolen,,,in gauzy white tub,,,,,
Tomato 5,10/15/2022,,10/22/2022,10/24/2022,2/19/2023,Discarded (ABQ move),,,,,,"Small, pending, hard-to-count, ungerminated seeds",,
Tomato 9,10/15/2022,,10/25/2022,10/24/2022,2/19/2023,Discarded (ABQ move),,,"Sprouted before planted, in small plastic cup as I have enough saplings already",,,ungerminated pomegranate seeds,Oct-21,
Tomato 10,10/15/2022,,10/27/2022,10/25/2022,2/19/2023,Discarded (ABQ move),,,"Sprouted before planted, put in middle ",,,,,
Tomato 6,10/15/2022,,10/22/2022,10/25/2022,2/19/2023,Discarded (ABQ move),,,,,,Ungerminated kiwi seeds,Sep-14,
Tomato 7,10/15/2022,,10/22/2022,10/25/2022,2/19/2023,Discarded (ABQ move),,,,,,Ungerminated cucumber seeds,Oct-13,probably too dry
Lemon 6,10/15/2022,,10/19/2022,10/30/2022,,Sprouted,,,in black pot.  Transplanted into own pot 3/28/23,,,,,
Lemon 7,10/15/2022,,10/19/2022,11/1/2022,,Sprouted,,,in black pot.  Transplanted into own pot 3/28/23,,,,,
Lemon 9,10/15/2022,,10/19/2022,11/5/2022,,Sprouted,,,in black pot.  Transplanted into own pot 3/28/23,,,,,
Lemon 10,10/15/2022,,10/19/2022,11/5/2022,2/20/2023,Discarded (ABQ move),,,transplanted to red pot on 11/13 (i suspect this actually happened 11/5 due to picture),,,,,
Lemon 12,10/15/2022,,11/3/2022,11/10/2022,,Sprouted,,,In tall plastic cup,,,,,
Lemon 13,10/15/2022,,11/3/2022,11/10/2022,1/26/2023,Cold shock,,,In tall plastic cup,,,,,
Lemon 14,10/15/2022,,11/5/2022,11/12/2022,,Sprouted,,,In tall own plastic cup  txplanted 5/21,,,,,
Mango 12,10/15/2022,,,,10/22/2022,Rotted,,,,,,,,
Mango 13,10/15/2022,,,,10/26/2022,Rotted,,,,,,,,
Lemon 11,10/15/2022,,10/19/2022,,12/1/2022,Dormant,,,"in black pot.  I see no evidence this ever sprouted, so marking it as dormant same date as Lemon8",,,"Ungerminated papaya seeds (white/blue oatmeal tub).  Intake sept 5, planted oct 27",,
Lemon 15,8/7/2023,,8/8/2023,,12/2/2023,Unsure,,,"Planted in Mint tub, just for fun .  by 12/2/23 i found no sign of it",,,,,
Mango 14,10/16/2022,,10/23/2022,11/17/2022,12/26/2022,Rotted,,,"Planted in tub 10/23 w no signs of germination.  Lost several leaves during move from office to home.  after a week in greenhouse under consistent light, still losing leaves.  Txplanted to new, non moist soil.  Root system under developed and very short, rotted likely ",,,Unsprouted habanero seeds,Nov-12,Added to grey plastic tub
Mango 15,10/17/2022,,11/2/2022,11/16/2022,5/2/2023,Stolen,,,"Root radicle was making good progress so put in gauzy white outside tub w #18.  Ended up with 11, eventually, not 18",,,germinating grapefruit seeds from st louis,Nov-23,
Pomegranate 5,10/21/2022,,10/27/2022,11/10/2022,2/15/2023,Dormant,,,in oatmeal tub - moved to own whole foods tub but stopped growing,,,,,
Pomegranate 7,10/21/2022,,10/27/2022,11/13/2022,1/7/2023,Not enough light,,,in oatmeal tub,,,,,
Pomegranate 8,10/21/2022,,10/27/2022,11/13/2022,1/3/2023,Not enough light,,,in second oatmeal tub,,,,,
Pomegranate 9,10/21/2022,,10/27/2022,11/13/2022,1/3/2023,Not enough light,,,in second oatmeal tub,,,,,
Pomegranate 6,10/21/2022,,10/27/2022,11/14/2022,2/15/2023,Dormant,,,in oatmeal tub - moved to own whole foods tub but stopped growing,,,,,
Pomegranate 10,10/21/2022,,10/27/2022,11/15/2022,1/3/2023,Not enough light,,,in second oatmeal tub,,,,,
Pomegranate 11,10/21/2022,,10/27/2022,11/15/2022,1/3/2023,Not enough light,,,in second oatmeal tub,,,,,
Pomegranate 12,10/21/2022,,10/27/2022,11/15/2022,1/3/2023,Not enough light,,,in second oatmeal tub,,,,,
Pomegranate 13,10/21/2022,,10/27/2022,11/15/2022,1/3/2023,Not enough light,,,in second oatmeal tub,,,,,
Pomegranate 14,10/21/2022,,10/27/2022,11/15/2022,1/3/2023,Not enough light,,,in second oatmeal tub,,,,,
Pomegranate 15,10/21/2022,,10/23/2022,11/17/2022,,Sprouted,,,"Started in second oatmeal tub, transplanted to square mineral tub",,,,,
Pomegranate 16,10/21/2022,,10/23/2022,11/17/2022,,Sprouted,,,"Started in second oatmeal tub, transplanted to square mineral tub",,,,,
Pomegranate 17,10/21/2022,,10/23/2022,11/17/2022,1/10/2023,Not enough light,,,"in second oatmeal tub.  I suspect these wont show up on the label for 8,9,10,11,12,13,14's tub but they were unrecorded in there",,,,,
Pomegranate 18,10/21/2022,,10/23/2022,11/17/2022,1/10/2023,Not enough light,,,"in second oatmeal tub.  I suspect these wont show up on the label for 8,9,10,11,12,13,14's tub but they were unrecorded in there",,,,,
Pomegranate 1,10/21/2022,,11/9/2022,11/25/2022,12/9/2022,Rotted,,,In square clear mineral water tub,,,,,
Pomegranate 2,10/21/2022,,11/9/2022,11/25/2022,12/9/2022,Rotted,,,In square clear mineral water tub,,,,,
Pomegranate 3,10/21/2022,,11/9/2022,11/25/2022,,Sprouted,,,In square clear mineral water tub,,,,,
Pomegranate 26,10/21/2022,,11/10/2022,11/29/2022,12/11/2022,Rotted,,,In smaller square juice box with composted soil ,,,,,
Pomegranate 27,10/21/2022,,11/10/2022,11/29/2022,12/9/2022,Rotted,,,In smaller square juice box with composted soil.  Rotted without coming out of soil ,,,,,
Pomegranate 25,10/21/2022,,11/10/2022,11/29/2022,2/20/2023,Discarded (ABQ move),,,In smaller square juice box with composted soil ,,,,,
Pomegranate 19,10/21/2022,,11/28/2022,11/30/2022,12/20/2022,Rotted,,,"in first whole foods tub, sprouted over thanksgiving",,,,,
Pomegranate 20,10/21/2022,,11/28/2022,11/30/2022,12/20/2022,Rotted,,,"in first whole foods tub, sprouted over thanksgiving",,,,,
Pomegranate 21,10/21/2022,,11/28/2022,11/30/2022,12/20/2022,Not enough light,,,"in first whole foods tub, sprouted over thanksgiving",,,,,
Pomegranate 22,10/21/2022,,11/28/2022,11/30/2022,12/20/2022,Not enough light,,,"in first whole foods tub, sprouted over thanksgiving",,,,,
Pomegranate 23,10/21/2022,,11/28/2022,11/30/2022,12/20/2022,Not enough light,,,"in first whole foods tub, sprouted over thanksgiving",,,,,
Pomegranate 24,10/21/2022,,11/28/2022,11/30/2022,12/20/2022,Not enough light,,,"in first whole foods tub, sprouted over thanksgiving",,,,,
Pomegranate 4,10/21/2022,,11/9/2022,,12/9/2022,Rotted,,,"Never came out of soil, suspect grew upside down ",,,,,
Grapefruit 1,10/22/2022,,10/27/2022,11/8/2022,1/7/2024,Discarded,,,"Has two stems, just letting it grow double",,,,,
Mango 16,10/23/2022,,10/23/2022,11/15/2022,1/26/2023,Rotted,,,Ataulfo mango variety planted in-husk.  Onion Treatment (1/1/2023),,,,,
Mango 17,10/25/2022,,10/25/2022,11/15/2022,,Sprouted,,,Most lovely white color of seed.  From standard large mango whose flesh had actually gone bad slightly ,,,,,
Mango 18,10/26/2022,,10/27/2022,,11/17/2022,Rotted,,,"Planted in gauzy white tub, is incorrectly labeled #16.  Moved to heating pad nov 14",,,,,
Mango 19,10/29/2022,,11/3/2022,,11/5/2022,Rotted,,,Had a natural wide hole in the seed itself which was already brown so the rot set in fast,,,,,
Mango 20,10/29/2022,,11/7/2022,,11/25/2022,Rotted,,,"Flesh of this mango had gone pretty bad.  However i think this is good for the seed, bc the root radicle had already grown out of the husk.  Soil has mushrooms in it",root radicle rotted / mold over thanksgiving,,,,
Habanero Pepper 11,11/4/2022,,11/10/2022,11/11/2022,,Sprouted,,,"in small plastic tub (contained HEB soup).  Transplanted 1/4/2023.  Very little change as of 3/4, suspect nutrient deficiency.  No change 3/19 except more yellow and dropped leaves.  This one's never getting better lmao.  6/5 fertilized, flushed w water, placed outside",,,,,
Habanero Pepper 12,11/4/2022,,11/10/2022,11/12/2022,,Sprouted,,,"in small plastic tub (contained HEB soup).  Transplanted 1/4/2023.  Potential bacterial leaf spot noticed 3/1/2023, drying out soil hopefully will contain it + copper fungicide",,,,,
Jalapeno Pepper 1,11/4/2022,,,,11/20/2022,Dormant,,,Not sure about existence of these but they probably died early ,,,,,
Jalapeno Pepper 2,11/4/2022,,,,11/20/2022,Dormant,,,Not sure about existence of these but they probably died early ,,,,,
Jalapeno Pepper 3,11/4/2022,,,,11/20/2022,Dormant,,,Not sure about existence of these but they probably died early ,,,,,
Jalapeno Pepper 4,11/4/2022,,11/10/2022,11/12/2022,3/20/2023,Dormant,,,"Added into tall clear cup containing 1, 2, 3.  1-3 slow to sprout bc they didnt use heat",,,,,
Habanero Pepper 13,11/4/2022,,11/10/2022,11/14/2022,2/20/2023,Discarded (ABQ move),,,in small plastic tub (contained HEB soup).  Transplanted 1/4/2023,,,,,
Habanero Pepper 14,11/4/2022,,11/10/2022,11/14/2022,12/30/2022,Rotted,,,Too much water i guess? (even tho it says keep them moist),,,,,
Medjool Date 1,11/11/2022,,11/30/2022,1/11/2023,9/15/2023,Dried out,,,Came back from thanksgiving to find the root radicle had punched through the seed husk,,,,,
Medjool Date 2,11/11/2022,,11/30/2022,1/15/2023,9/15/2023,Dried out,,,Came back from thanksgiving to find the root radicle had punched through the seed husk,,,,,
Medjool Date 3,11/11/2022,,11/30/2022,,2/1/2023,Dormant,,,Came back from thanksgiving to find the root radicle had punched through the seed husk,,,,,
Medjool Date 4,11/11/2022,,11/30/2022,,2/1/2023,Dormant,,,Came back from thanksgiving to find the root radicle had punched through the seed husk,,,,,
Medjool Date 5,11/11/2022,,11/30/2022,,2/1/2023,Dormant,,,Came back from thanksgiving to find the root radicle had punched through the seed husk,,,,,
Grapefruit 1.5,10/22/2022,,10/27/2022,11/8/2022,1/12/2024,Discarded,,,,,,,,
Grapefruit 2,11/15/2022,,12/1/2022,12/30/2022,5/7/2023,Dried out ,,,"has two stems, just letting it grow double.   Seems like it suffocated and withered from compacted soil",,,,,
Grapefruit 3,11/15/2022,,12/1/2022,12/30/2022,5/21/2023,Transplant shock ,,,Pot was well watered but soil was too compacted.  Transplanted into own tub 5/7/23,,,,,
Grapefruit 4,11/15/2022,,12/1/2022,12/31/2022,5/7/2023,Dried out,,,Pot was well watered but soil was too compacted so roots suffocated and it withered,,,,,
Mango 21,11/19/2022,,11/30/2022,,12/13/2022,Dormant,,,from STL,,,,,
Mango 22,11/24/2022,,12/1/2022,,12/6/2022,Rotted,,,From STL.  Had somewhwat discolored grey / brown coloring only after a day,,,,,
Papaya 14,11/25/2022,,12/26/2022,1/4/2023,1/26/2023,Unsure,,,in tall square clear plastic tea jug,,,,,
Mango 23,11/28/2022,,12/6/2022,,12/27/2022,Rotted,,,,,,,,
Pink Lemon 2,12/3/2022,,12/11/2022,12/20/2022,1/12/2023,Overwatered,,,Sprouted over christmas break,,,,,
Pink Lemon 1,12/3/2022,,12/11/2022,12/30/2022,1/12/2023,Overwatered,,,"Uncovered soil to discover it, was buried too deep and suspect was rotting slightly ",,,,,
Grapefruit 5,12/8/2022,,12/13/2022,1/3/2023,,Sprouted,,,Transplanted into own pots 5/7,,,,,
Grapefruit 5.5,12/8/2022,,12/13/2022,1/3/2023,8/11/2023,Donated,,,"Split off from Grapefruit 5 on 5/7/23, Discarded for good, not anchored into soil and losing greenness",,,,,
Grapefruit 6,12/8/2022,,12/13/2022,1/5/2023,,Sprouted,,,Transplatned into own pot 5/7,,,,,
Grapefruit 7,12/8/2022,,12/13/2022,1/7/2023,2/23/2023,Discarded (ABQ move),,,,,,,,
Grapefruit 8,12/9/2022,,12/13/2022,1/5/2023,5/2/2023,Stolen,,,,,,,,
Grapefruit 9,12/10/2022,,12/13/2022,1/5/2023,5/2/2023,Stolen,,,,,,,,
Key Lime 4,12/10/2022,,12/26/2022,1/6/2023,2/20/2023,Unsure,,,Unsure if these ever existed,,,,,
Key Lime 3,12/10/2022,,12/26/2022,1/7/2023,2/20/2023,Unsure,,,Unsure if these ever existed,,,,,
Key Lime 1,12/10/2022,,12/29/2022,1/8/2023,6/5/2023,Transplant shock ,,,,,,,,
Key Lime 2,12/10/2022,,12/29/2022,1/8/2023,,Sprouted,,,,,,,,
Grapefruit 10,12/11/2022,,12/13/2022,1/5/2023,5/2/2023,Stolen,,,,,,,,
Grapefruit 11,12/30/2023,,1/7/2024,1/18/2024,,Sprouted,,,,,,,,
Medjool Date 6,12/11/2022,,1/1/2023,1/31/2023,9/15/2023,Dried out,,,In own whole foods tub,,,,,
Medjool Date 7,1/1/2023,,1/21/2023,3/4/2023,,Sprouted,,,In clear square tea jug .  adjusted from impossible sprouted date of 1/4 based on history of file,,,,,
Medjool Date 8,1/4/2023,,1/28/2023,3/8/2023,,Sprouted,,,,,,,,
Medjool Date 9,1/4/2023,,1/28/2023,3/6/2023,9/15/2023,Dried out,,,,,,,,
Turmeric 10,12/17/2022,,12/29/2022,1/13/2023,,Sprouted,,,in square own mineral water tub,,,,,
Turmeric 11,12/17/2022,,1/8/2023,1/20/2023,7/17/2023,Discarded,,,,,,,,
Turmeric 12,12/17/2022,,1/16/2023,2/6/2023,,Sprouted,,,in big green tub,,,,,
Turmeric 13,12/17/2022,,1/16/2023,2/6/2023,10/20/2023,Unsure,,,in big green tub,,,,,
Guava 9,12/17/2022,,1/17/2023,1/24/2023,5/2/2023,Stolen,,,In own whole foods tub.  doing timelapse.  Stolen May 2-3 2023,,,,,
Turmeric 9,12/17/2022,,12/31/2022,1/12/2023,6/23/2023,Rotted,,,From Olive Supermarket asian store,,,,,
Guava 1,12/17/2022,,12/27/2022,1/1/2023,1/8/2023,Rotted,,,in the tub mango1 was in.  Planted in banana which was bad idea,,,,,
Guava 2,12/17/2022,,12/27/2022,1/1/2023,1/8/2023,Rotted,,,in the tub mango1 was in.  Planted in banana which was bad idea,,,,,
Guava 3,12/17/2022,,12/28/2022,1/15/2023,2/20/2023,Discarded (ABQ move),,,Planted in same tub as banana guavas,,,,,
Guava 4,12/17/2022,,12/28/2022,1/16/2023,2/20/2023,Dormant,,,Planted in same tub as banana guavas,,,,,
Guava 5,12/17/2022,,12/28/2022,1/18/2023,2/20/2023,Discarded (ABQ move),,,Planted in same tub as banana guavas,,,,,
Guava 6,12/17/2022,,12/28/2022,,1/25/2023,Dormant,,,"Refused to stay rooted, kept falling out of soil",,,,,
Guava 7,12/17/2022,,1/10/2023,1/15/2023,,Sprouted,,,In own tall plastic cup,,,,,
Guava 8,12/17/2022,,1/14/2023,1/18/2023,,Sprouted,,,In own tall plastic cup.  Transplanted into mineral water tub 3/28/23,,,,,
Honey Tangerine 1,12/17/2022,,12/27/2022,1/3/2023,1/20/2023,Unsure,,,Listed as sprouted but they must have died bc none in that side of bucket at 1/28,,,,,
Honey Tangerine 2,12/17/2022,,12/27/2022,1/4/2023,1/20/2023,Unsure,,,Listed as sprouted but they must have died bc none in that side of bucket at 1/28,,,,,
Honey Tangerine 3,12/17/2022,,12/27/2022,1/7/2023,1/25/2024,Unsure,,,In small bedside jar ,,,,,
Honey Tangerine 4,12/17/2022,,1/1/2023,1/14/2023,2/20/2023,Discarded (ABQ move),,,,,,,,
Honey Tangerine 5,12/17/2022,,1/1/2023,1/17/2023,2/20/2023,Discarded (ABQ move),,,,,,,,
Honey Tangerine 6,12/17/2022,,1/1/2023,,1/15/2023,Unsure,,,Not sure where these ones are or if they exist,,,,,
Honey Tangerine 7,12/17/2022,,,,1/15/2023,Unsure,,,Not sure where these ones are or if they exist,,,,,
Honey Tangerine 8,12/17/2022,,1/13/2023,1/24/2023,11/16/2023,Stolen,,,"Sprouted in paper towel, put in clear mineral water tub.  Was in the measurements on 11/11, but gone by 11/18",,,,,
Honey Tangerine 9,12/17/2022,,1/13/2023,1/24/2023,4/3/2023,Dried out,,,"Sprouted in paper towel, put in clear mineral water tub.  Eventually, section of stem near the soil became super thin and it fell over",,,,,
Honey Tangerine 10,12/17/2022,,1/13/2023,1/24/2023,3/19/2023,Discarded (ABQ move),,,"Sprouted in paper towel, put in clear mineral water tub.  Section of the stem near the soil was super thin, it was keeled over anyway",,,,,
Honey Tangerine 11,12/17/2022,,1/7/2023,,1/14/2023,Rotted,,,"Appeaers to have gotten too much water, was in own tall plastic cup",,,,,
