Name,Date,Note,
Avocado 18,6/26/2023,Dormant,
Avocado 16,6/26/2023,Dormant,
Avocado 26,7/1/2023,Dormant,
Avocado 6,7/1/2023,Undormant,
Habanero Pepper 9,7/1/2023,Undormant,
Grapefruit 5,7/1/2023,Undormant,
Grapefruit 6,7/1/2023,Undormant,
Avocado 17,7/1/2023,Dormant,
Pomegranate 36,7/2/2023,Dormant,
Pomegranate 37,7/2/2023,Dormant,
Desert Peach 1,7/2/2023,Dormant,
Pomegranate 36,7/10/2023,Undormant,
Guava 20,7/11/2023,Dormant,
Pomegranate 37,7/11/2023,Undormant,
Avocado 7,7/15/2023,Dormant,
Avocado 3,7/15/2023,Dormant,
Avocado 11,7/15/2023,Dormant,
Pink Lemon 3,7/15/2023,Undormant,
Turmeric 7,7/25/2023,Undormant,
Avocado 2,7/28/2023,Dormant,
Pomegranate 37,7/29/2023,Dormant,
Pomegranate 36,7/29/2023,Dormant,
Snake Plant 1,8/1/2023,Dormant,
Turmeric 10,8/1/2023,Undormant,
Avocado 24,8/1/2023,Dormant,
Key Lime 9,8/4/2023,Dormant,
Pomegranate 15,8/6/2023,Dormant,
Guava 21,8/7/2023,Dormant,
Snake Plant 1,8/8/2023,Undormant,
Lemon 9,8/10/2023,Undormant,
Pineapple 4,8/11/2023,Dormant,
Mango 1,8/12/2023,Dormant,
Pomegranate 16,8/12/2023,Dormant,
Pomegranate 3,8/12/2023,Dormant,
Mango 17,8/12/2023,Dormant ,
Grapefruit 1,8/15/2023,Undormant,
Grapefruit 1.5,8/15/2023,Undormant,
Texas Persimmon 7,9/1/2023,Dormant,
Avocado 2,9/7/2023,Undormant,
Pomegranate 31,9/10/2023,Dormant,
Pomegranate 35,9/10/2023,Dormant,
Pomegranate 16,9/10/2023,Undormant,
Pineapple 4,9/10/2023,Undormant,
Pomegranate 15,9/10/2023,Undormant,
Persimmon 7,9/13/2023,Dormant,
Palo Verde 4,9/13/2023,Dormant,
Avocado 18,9/15/2023,Undormant,
Pomegranate 3,9/15/2023,Undormant,
Lemon 3,9/15/2023,Dormant,
Lemon 4,9/15/2023,Dormant,
Palo Verde 4,9/24/2023,Undormant ,
Mango 17,9/24/2023,Undormant,
Honey Locust 1,9/24/2023,Dormant,
Honey Locust 2,9/24/2023,Dormant,
Persimmon 7,9/28/2023,Undormant,
Honey Locust 3,9/29/2023,Dormant,
Honey Tangerine 3,9/30/2023,Dormant,
Honey Locust 4,9/30/2023,Dormant,
Persimmon 1,10/1/2023,Dormant,
Turmeric 13,10/2/2023,Dormant,
Persimmon 7,10/3/2023,Dormant,
Persimmon 7,10/10/2023,Undormant,
Honey Locust 4,10/12/2023,Undormant,
Turmeric 4,10/14/2023,Dormant,
Turmeric 6,10/14/2023,Dormant,
Turmeric 5,10/14/2023,Dormant,
Pomegranate 15,10/15/2023,Dormant,
Pomegranate 16,10/15/2023,Dormant,
Pomegranate 3,10/15/2023,Dormant,
Pomegranate 29,10/15/2023,Dormant,
Jackfruit 5,10/15/2023,Dormant,
Honey Locust 6,10/29/2023,Dormant,
Grapefruit 1,11/1/2023,Dormant,
Grapefruit 1.5,11/1/2023,Dormant,
Pomegranate 15,11/4/2023,Undormant,
Honey Locust 6,11/18/2023,Undormant,
Honey Locust 9,11/20/2023,Dormant,
Texas Persimmon 9,11/20/2023,Dormant,
Mango 7,11/20/2023,Dormant,
Tomatillo 12,11/22/2023,Dormant,
Orchid 1,12/2/2023,Undormant,
Rosemary 6,12/3/2023,Dormant,
Rosemary 7,12/3/2023,Dormant,
Rosemary 8,12/3/2023,Dormant,
Rosemary 9,12/3/2023,Dormant,
Etrog 6,12/3/2023,Dormant,
Pomegranate 16,12/5/2023,Undormant,
Rosemary 2,12/5/2023,Dormant,
Rosemary 3,12/5/2023,Dormant,
Rosemary 4,12/5/2023,Dormant,
Rosemary 5,12/5/2023,Dormant,
Rosemary 14,12/5/2023,Dormant,
Rosemary 15,12/5/2023,Dormant,
Rosemary 16,12/5/2023,Dormant,
Rosemary 17,12/5/2023,Dormant,
Rosemary 18,12/5/2023,Dormant,
Rosemary 19,12/5/2023,Dormant,
Rosemary 20,12/5/2023,Dormant,
Rosemary 21,12/5/2023,Dormant,
Guava 7,12/6/2023,Dormant,
Key Lime 2,12/9/2023,Dormant,
Tomatillo 7,12/15/2023,Dormant,
Tomatillo 13,12/15/2023,Dormant,
Tomatillo 14,12/15/2023,Dormant,
Tomatillo 15,12/15/2023,Dormant,
Orchid 2,12/22/2023,Undormant,
Beet 2,12/26/2023,Undormant,
Key Lime 10,1/10/2024,Dormant,
Jackfruit 5,1/12/2024,Undormant,
Pomegranate 31,1/17/2024,Undormant,
Pomegranate 29,1/17/2024,Undormant,
Pomegranate 3,1/17/2024,Undormant,
Pomegranate 35,1/22/2024,Undormant,
Basil 2,1/22/2024,Undormant,
Jackfruit 5,2/1/2024,Dormant,
Avocado 4,3/1/2024,Dormant,
Persimmon 1,2/4/2024,Undormant,
Thyme 1,2/4/2024,Dormant,
Thyme 2,2/4/2024,Dormant,
Bay Laurel 1,2/4/2024,Dormant,
Bay Laurel 2,2/4/2024,Dormant,
Thyme 3,2/4/2024,Dormant,
Mango 7,2/11/2024,Undormant,
Banana 1,2/13/2024,Dormant,
Honey Tangerine 7,2/20/2024,Dormant,
Banana 1,2/24/2024,Undormant,
Key Lime 10,3/2/2024,Undormant,
Magnolia 11,3/2/2024,Dormant,Seemingly overwatered - weak stem and floppy helmet head
Pomegranate 3,3/4/2024,Dormant,
Jackfruit 5,3/30/2024,Undormant,
African Milk Plant 1,4/1/2024,Dormant,
African Milk Plant 2,4/1/2024,Dormant,
African Milk Plant 3,4/1/2024,Dormant,
Persimmon 12,4/8/2024,Dormant,
Jackfruit 5,4/8/2024,Dormant,
Pomegranate 3,4/13/2024,Undormant,
Aloe Vera 1,4/28/2024,Dormant,
Texas Persimmon 10,5/2/2024,Dormant,
African Milk Plant 1,5/11/2024,Undormant,
Aloe Vera 1,5/15/2024,Undormant,
African Milk Plant 3,5/22/2024,Undormant,
